Institute,Branch Name,Quota,Category,Seat Pool,Opening Rank,Closing Rank,Round No,State
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,19,421,3,Maharashtra
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,19,590,3,Maharashtra
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,19,473,3,Maharashtra
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,19,451,3,Maharashtra
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,19,322,3,Maharashtra
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,19,501,3,Maharashtra
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,19,2943,3,Maharashtra
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,19,2320,3,Maharashtra
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,19,3481,3,Maharashtra
COEP Technological University,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,19,9118,3,Maharashtra
COEP Technological University,"Electronics and Communication Engineering (4 Years, Bachelor of
Technology)",HS,OBC-NCL,Gender-Neutral,12014,773,3,Maharashtra
COEP Technological University,"Electronics and Communication Engineering (4 Years, Bachelor of
Technology)",HS,OBC-NCL,Female-Only,12732,1577,3,Maharashtra
COEP Technological University,"Electronics and Communication Engineering (4 Years, Bachelor of
Technology)",HS,EWS,Gender-Neutral,3975,1020,3,Maharashtra
COEP Technological University,"Electronics and Communication Engineering (4 Years, Bachelor of
Technology)",HS,EWS,Female-Only,9367,1020,3,Maharashtra
COEP Technological University,"Electronics and Communication Engineering (4 Years, Bachelor of
Technology)",HS,OPEN,Gender-Neutral,14942,549,3,Maharashtra
COEP Technological University,"Electronics and Communication Engineering (4 Years, Bachelor of
Technology)",HS,OPEN,Female-Only,26059,871,3,Maharashtra
COEP Technological University,"Electronics and Communication Engineering (4 Years, Bachelor of
Technology)",HS,OPEN-PwD,Gender-Neutral,868,10008,3,Maharashtra
